cliente_email,produto,quantidade,preco
tracybranch@example.net,Impressora,2,89.13
hannahford@example.org,Teclado,1,414.27
perezandrew@example.org,Monitor,4,562.66
sydneywade@example.org,Impressora,3,403.25
lramsey@example.net,Teclado,2,401.74
zjimenez@example.org,Monitor,5,856.41
beth49@example.com,Teclado,2,712.37
benjaminortiz@example.org,Impressora,3,327.39
harry64@example.com,Monitor,2,57.58
bfrazier@example.org,Monitor,1,131.16
zjimenez@example.org,Teclado,5,977.46
bnichols@example.com,Teclado,5,593.48
brendamartinez@example.com,Mouse,4,556.81
zjimenez@example.org,Monitor,4,877.29
cblackwell@example.org,Teclado,3,736.4
kelseygates@example.org,Teclado,4,782.26
clarkcrystal@example.net,Monitor,3,868.24
mario74@example.com,Teclado,5,967.72
duranrobin@example.net,Impressora,1,547.02
toddlori@example.net,Impressora,5,405.15
jodi50@example.org,Teclado,2,512.7
senglish@example.org,Impressora,3,179.87
rlarsen@example.com,Impressora,5,280.44
tarmstrong@example.net,Mouse,5,288.97
andrealarsen@example.net,Mouse,2,918.72
lorianderson@example.com,Impressora,2,723.08
ricky29@example.net,Monitor,4,557.31
pmorrison@example.com,Teclado,5,150.69
evazquez@example.net,Monitor,2,834.43
omassey@example.net,Monitor,3,652.26
kimberlywhite@example.com,Teclado,5,556.92
moranchad@example.net,Notebook,1,623.78
robert36@example.net,Teclado,5,323.41
danielleyates@example.com,Impressora,3,193.27
ianpeters@example.com,Notebook,3,58.07
perezandrew@example.org,Monitor,3,532.9
lorianderson@example.com,Teclado,2,832.31
rebeccalandry@example.net,Monitor,1,498.49
harry64@example.com,Notebook,1,350.7
evazquez@example.net,Mouse,4,220.34
robert70@example.net,Teclado,2,721.0
franklincorey@example.net,Impressora,3,719.53
robert36@example.net,Notebook,3,852.64
gmoss@example.com,Mouse,3,600.19
tracybranch@example.net,Mouse,5,898.71
zjimenez@example.org,Impressora,1,273.82
melissa50@example.org,Mouse,3,933.96
benjaminortiz@example.org,Notebook,1,273.25
moranchad@example.net,Mouse,3,386.72
amoore@example.com,Notebook,5,146.8
beth49@example.com,Notebook,3,429.55
gmoss@example.com,Impressora,2,971.14
ericosborn@example.org,Impressora,1,875.09
moranchad@example.net,Monitor,3,607.76
hnielsen@example.com,Notebook,1,365.75
harry64@example.com,Impressora,1,810.48
pmorrison@example.com,Impressora,4,113.28
lorianderson@example.com,Mouse,2,398.45
bdavis@example.net,Monitor,2,433.52
moranchad@example.net,Teclado,4,762.9
moranchad@example.net,Mouse,1,284.86
franklincorey@example.net,Notebook,5,925.25
tarmstrong@example.net,Teclado,3,66.46
danielmorrison@example.net,Impressora,4,261.61
santosshelby@example.com,Mouse,5,348.26
rebeccalandry@example.net,Impressora,1,449.79
omassey@example.net,Monitor,2,457.1
larry90@example.org,Impressora,4,109.12
juliewatts@example.com,Monitor,4,410.88
senglish@example.org,Notebook,3,211.16
franklincorey@example.net,Monitor,3,236.17
kimberlywhite@example.com,Notebook,3,735.41
toddlori@example.net,Impressora,1,619.1
evazquez@example.net,Monitor,5,501.29
karen59@example.org,Notebook,4,391.89
gloria61@example.org,Monitor,4,905.54
bnichols@example.com,Monitor,4,380.39
rlarsen@example.com,Impressora,1,697.89
gloria61@example.org,Monitor,5,423.47
karen59@example.org,Mouse,2,948.38
lorianderson@example.com,Teclado,5,75.4
julia91@example.com,Mouse,3,716.89
parkermatthew@example.com,Impressora,3,554.11
brendamartinez@example.com,Teclado,3,626.85
jgeorge@example.com,Teclado,1,80.56
kkrause@example.net,Monitor,3,388.25
shahsusan@example.com,Monitor,2,684.65
ahanson@example.org,Monitor,1,273.32
shahsusan@example.com,Mouse,3,808.21
mario74@example.com,Impressora,5,545.79
tracybranch@example.net,Impressora,5,443.41
moranchad@example.net,Mouse,3,822.5
kkrause@example.net,Impressora,2,219.82
erin96@example.com,Teclado,5,350.77
leroy51@example.net,Mouse,5,82.51
senglish@example.org,Monitor,4,434.56
joshua35@example.net,Teclado,5,189.54
samanthadavis@example.com,Teclado,3,997.75
larry90@example.org,Monitor,5,465.35
hjones@example.org,Mouse,4,213.97
pollarderic@example.net,Mouse,2,139.85
brendamartinez@example.com,Impressora,4,580.77
rlarsen@example.com,Mouse,3,944.03
ahanson@example.org,Teclado,5,947.9
lramsey@example.net,Impressora,1,952.97
mhill@example.org,Impressora,5,957.19
ngonzalez@example.com,Impressora,5,287.37
beth49@example.com,Impressora,3,410.84
rebeccalandry@example.net,Monitor,5,633.38
donald63@example.net,Teclado,3,468.55
bdavis@example.net,Impressora,3,540.53
erin96@example.com,Mouse,5,744.24
ianpeters@example.com,Mouse,1,715.99
bnichols@example.com,Mouse,4,660.25
leroy51@example.net,Notebook,3,199.51
sbeard@example.com,Impressora,4,874.41
mhill@example.org,Mouse,1,681.16
willisjulia@example.com,Teclado,3,302.26
lramsey@example.net,Notebook,4,601.67
crystal39@example.com,Monitor,5,304.17
omassey@example.net,Impressora,5,882.14
hannahford@example.org,Mouse,1,741.63
gloria61@example.org,Monitor,2,432.03
hunter91@example.com,Impressora,2,454.35
lramsey@example.net,Notebook,1,720.1
juliewatts@example.com,Monitor,2,131.82
mcortez@example.org,Impressora,4,870.33
pmorrison@example.com,Impressora,1,788.8
kelseygates@example.org,Notebook,3,544.98
amber92@example.net,Impressora,4,278.7
larry90@example.org,Impressora,4,514.36
danielleyates@example.com,Monitor,3,174.34
thomaslisa@example.net,Impressora,3,927.17
ngonzalez@example.com,Mouse,5,723.32
thomaslisa@example.net,Impressora,5,219.35
michelle08@example.net,Monitor,1,497.37
samanthadavis@example.com,Notebook,1,979.06
hannahford@example.org,Monitor,3,646.87
rebeccalandry@example.net,Notebook,4,710.5
robert70@example.net,Mouse,1,751.53
toddlori@example.net,Impressora,5,448.86
hannahford@example.org,Impressora,1,918.2
crystal39@example.com,Teclado,2,59.32
ricky29@example.net,Mouse,2,238.21
harry64@example.com,Teclado,4,599.21
mario74@example.com,Notebook,2,868.46
shahsusan@example.com,Teclado,5,315.92
michelle08@example.net,Impressora,2,689.59
holtbrian@example.com,Impressora,1,492.03
hunter91@example.com,Notebook,3,927.67
brendamartinez@example.com,Monitor,2,416.18
gloria61@example.org,Mouse,4,922.33
kelseygates@example.org,Teclado,2,649.8
kelseygates@example.org,Impressora,4,424.73
sbeard@example.com,Impressora,5,227.68
faith57@example.com,Mouse,5,121.14
hannahford@example.org,Notebook,2,394.87
brendamartinez@example.com,Monitor,4,744.22
dduarte@example.org,Impressora,4,283.27
robert70@example.net,Notebook,4,437.95
bfrazier@example.org,Teclado,3,912.8
clarkcrystal@example.net,Mouse,4,628.36
crivera@example.org,Notebook,4,550.77
senglish@example.org,Impressora,5,651.89
gmoss@example.com,Notebook,3,772.23
boyerdavid@example.org,Monitor,2,335.19
ahanson@example.org,Monitor,1,412.31
ericosborn@example.org,Monitor,4,116.67
santosshelby@example.com,Notebook,1,53.62
danielleyates@example.com,Notebook,1,61.01
senglish@example.org,Impressora,2,757.61
vcameron@example.com,Monitor,3,829.83
julia91@example.com,Impressora,5,499.6
ianpeters@example.com,Teclado,4,824.34
senglish@example.org,Monitor,4,87.25
omassey@example.net,Impressora,5,895.92
bpatterson@example.net,Teclado,5,885.3
dduarte@example.org,Monitor,2,125.95
thomaslisa@example.net,Teclado,2,821.41
evazquez@example.net,Monitor,1,191.59
karen59@example.org,Notebook,4,505.87
gloria61@example.org,Monitor,2,74.04
beth49@example.com,Notebook,3,110.73
kkrause@example.net,Monitor,3,442.87
scott98@example.com,Notebook,2,600.99
robert36@example.net,Notebook,3,334.69
omassey@example.net,Notebook,1,270.2
santosshelby@example.com,Mouse,4,904.0
bdavis@example.net,Mouse,1,734.26
hjones@example.org,Mouse,1,483.4
rlarsen@example.com,Impressora,4,849.51
ricky29@example.net,Teclado,2,319.39
toddlori@example.net,Teclado,4,327.92
willisjulia@example.com,Monitor,1,959.52
kimberlywhite@example.com,Teclado,1,829.69
boyerdavid@example.org,Mouse,4,375.86
toddlori@example.net,Mouse,3,504.44
thomaslisa@example.net,Impressora,2,608.12
toddlori@example.net,Mouse,3,712.3
bradleycampbell@example.com,Teclado,5,146.87
